investor_id,investor_name,investor_type,sector_fouce,check_size_usd,investment_stage,investment_frequency,geographic_focus,last_investment_date
1001,Miller-Clark,VC,Edtech,6637149,Seed,12,MENA,2024-05-28
1002,"Holmes, Arellano and Kim",Institutional Investor,AI,5770202,Seed,1,MENA,2025-03-16
1003,Stephens-Simmons,VC,Fintech,7183366,Series B,9,Europe,2024-11-30
1004,Robertson-Berg,VC,Healthtech,2853331,Series B,14,North America,2025-01-16
1005,"Lawrence, Moore and Huber",VC,Consumer Goods,7935478,Series C,15,North America,2024-12-26
1006,Klein Group,Institutional Investor,AI,8671549,Seed,8,Global,2024-12-03
1007,Garcia-Thompson,Family Office,Healthtech,2711708,Series A,7,North America,2024-08-01
1008,Reyes-Rodriguez,Family Office,E-commerce,9270682,Series C,4,North America,2024-07-20
1009,"Perez, Jenkins and Crawford",VC,Fintech,527179,Series C,8,Global,2024-06-02
1010,"Clayton, Cobb and Lewis",Private Equity,E-commerce,6885272,Series C,10,MENA,2024-04-28
1011,Avila PLC,Institutional Investor,Healthtech,2667058,Series A,12,North America,2024-07-04
1012,Rocha Inc,Private Equity,E-commerce,4579460,Series A,4,Asia,2025-03-06
1013,Barber PLC,VC,Consumer Goods,9641946,Series C,3,Asia,2024-10-05
1014,"Franco, Price and Gardner",Private Equity,Biotech,1018741,Series C,3,Europe,2024-07-11
1015,"Ruiz, Chandler and Fox",Institutional Investor,Biotech,2324569,Series C,1,North America,2024-06-12
1016,Reynolds LLC,Family Office,Biotech,4032095,Series B,4,Europe,2024-09-19
1017,"Sexton, Burke and Sanchez",Private Equity,Healthtech,4890982,Series C,2,Europe,2024-04-17
1018,Wood-Wise,VC,AI,3100107,Series B,15,Asia,2024-10-03
1019,Williams Inc,VC,SaaS,2562660,Seed,11,Asia,2024-07-29
1020,Ramos LLC,Family Office,Fintech,9964804,Series B,3,Asia,2024-07-01
1021,Walker and Sons,VC,E-commerce,7784731,Seed,8,Global,2024-12-24
1022,Richardson PLC,Family Office,AI,1938860,Series B,8,North America,2024-07-05
1023,Turner Ltd,Private Equity,SaaS,815876,Series A,1,Asia,2024-10-22
